schedule_date,score_away
09/10/1966,0
9/18/1966,24
10/08/1966,20
11/20/1966,27
11/27/1966,20
12/11/1966,38
12/17/1966,28
09/03/1967,21
09/09/1967,14
9/17/1967,7
9/24/1967,23
10/08/1967,31
10/29/1967,23
11/26/1967,6
12/17/1967,32
09/08/1968,16
9/29/1968,20
10/06/1968,10
10/27/1968,14
11/17/1968,17
12/08/1968,7
12/15/1968,17
9/14/1969,7
10/11/1969,16
10/26/1969,17
11/16/1969,25
11/30/1969,38
12/07/1969,18
12/14/1969,23
10/17/1971,3
10/24/1971,21
10/31/1971,10
11/21/1971,7
11/28/1971,20
12/12/1971,6
12/19/1971,21
10/08/1972,14
10/22/1972,3
10/29/1972,10
11/12/1972,0
11/26/1972,0
12/10/1972,17
12/17/1972,21
9/30/1973,23
10/21/1973,13
11/04/1973,23
11/11/1973,13
11/25/1973,32
12/09/1973,13
12/16/1973,13
9/22/1974,28
10/13/1974,24
10/20/1974,28
10/27/1974,17
11/24/1974,27
12/01/1974,26
12/15/1974,27
10/05/1975,7
10/12/1975,10
11/02/1975,17
11/09/1975,33
11/23/1975,31
12/01/1975,7
12/21/1975,21
9/26/1976,30
10/10/1976,10
10/24/1976,26
10/31/1976,3
11/14/1976,21
11/21/1976,38
12/12/1976,31
12/18/1976,21
9/26/1977,27
10/02/1977,27
10/16/1977,24
11/13/1977,5
11/20/1977,20
12/04/1977,16
12/18/1977,24
09/10/1978,16
9/24/1978,21
10/15/1978,10
11/05/1978,14
11/19/1978,19
11/26/1978,35
12/03/1978,10
12/18/1978,3
9/16/1979,20
10/01/1979,14
10/14/1979,27
10/28/1979,26
11/04/1979,26
11/11/1979,10
11/29/1979,24
12/09/1979,26
9/21/1980,37
10/05/1980,21
10/19/1980,37
10/26/1980,13
11/10/1980,34
11/30/1980,17
12/08/1980,13
12/21/1980,38
9/13/1981,3
9/27/1981,21
10/11/1981,24
10/25/1981,22
11/01/1981,17
11/22/1981,17
12/06/1981,14
12/20/1981,21
09/12/1982,24
11/21/1982,7
12/05/1982,13
12/19/1982,16
12/26/1982,14
01/08/1983,13
09/11/1983,24
9/25/1983,28
10/09/1983,7
10/23/1983,31
10/30/1983,13
11/27/1983,3
12/11/1983,21
12/18/1983,6
09/02/1984,21
09/09/1984,7
9/30/1984,28
10/07/1984,17
11/04/1984,19
11/18/1984,50
11/22/1984,17
12/09/1984,17
9/15/1985,7
9/22/1985,17
10/06/1985,20
10/27/1985,32
11/17/1985,20
11/24/1985,13
12/01/1985,38
12/16/1985,27
12/28/1985,26
01/05/1986,27
01/12/1986,31
1/26/1986,10
09/11/1986,20
9/28/1986,20
10/19/1986,34
10/26/1986,23
11/09/1986,30
11/16/1986,30
11/30/1986,21
12/22/1986,34
01/04/1987,17
9/21/1987,24
10/25/1987,16
11/08/1987,10
12/06/1987,20
12/20/1987,13
12/28/1987,24
09/11/1988,6
9/25/1988,6
10/09/1988,3
10/23/1988,20
11/13/1988,14
11/20/1988,6
11/27/1988,21
12/17/1988,10
09/10/1989,27
10/01/1989,10
10/15/1989,15
10/22/1989,20
10/29/1989,23
11/26/1989,21
12/10/1989,10
12/17/1989,10
9/16/1990,16
9/23/1990,7
10/18/1990,10
11/04/1990,20
11/18/1990,0
11/25/1990,14
12/09/1990,3
12/23/1990,7
09/01/1991,16
9/15/1991,6
9/29/1991,10
11/03/1991,17
11/10/1991,20
12/01/1991,3
12/15/1991,6
12/22/1991,7
9/13/1992,0
10/04/1992,21
10/18/1992,17
11/01/1992,7
11/15/1992,37
11/29/1992,0
12/13/1992,20
12/20/1992,10
09/05/1993,14
9/26/1993,7
10/10/1993,23
10/24/1993,9
10/31/1993,6
11/21/1993,13
12/05/1993,14
12/19/1993,20
09/04/1994,35
9/18/1994,31
9/25/1994,23
10/16/1994,17
11/06/1994,6
11/27/1994,12
12/18/1994,41
12/24/1994,13
01/01/1995,13
9/17/1995,3
10/01/1995,17
10/15/1995,26
11/05/1995,20
11/12/1995,34
11/26/1995,35
12/16/1995,27
12/23/1995,7
09/01/1996,10
09/08/1996,10
10/06/1996,46
10/20/1996,27
11/10/1996,31
12/01/1996,45
12/15/1996,6
12/21/1996,23
1/26/1997,21
09/07/1997,31
10/06/1997,13
10/19/1997,19
11/02/1997,18
11/09/1997,31
11/16/1997,7
12/07/1997,26
12/22/1997,14
01/03/1998,6
09/07/1998,21
10/04/1998,30
10/25/1998,9
11/01/1998,21
11/15/1998,10
12/06/1998,23
12/13/1998,18
12/27/1998,10
01/03/1999,10
09/12/1999,30
10/03/1999,19
10/10/1999,14
10/31/1999,27
11/21/1999,17
11/28/1999,7
12/12/1999,15
12/19/1999,9
09/11/2000,19
9/24/2000,3
10/01/2000,28
10/22/2000,23
11/12/2000,11
11/23/2000,9
12/10/2000,17
12/17/2000,13
09/09/2001,17
10/07/2001,10
10/21/2001,38
10/28/2001,20
11/04/2001,24
12/02/2001,17
12/16/2001,12
01/06/2002,38
1/27/2002,24
02/03/2002,20
9/15/2002,44
9/29/2002,14
10/06/2002,13
11/03/2002,38
11/10/2002,33
11/17/2002,20
11/28/2002,20
12/16/2002,7
09/07/2003,0
9/14/2003,31
9/28/2003,17
10/19/2003,19
11/03/2003,30
11/23/2003,23
11/30/2003,38
12/20/2003,21
9/19/2004,23
10/03/2004,31
10/31/2004,20
11/07/2004,40
11/22/2004,27
12/05/2004,42
12/20/2004,28
12/26/2004,23
1/23/2005,41
02/06/2005,24
9/18/2005,17
9/25/2005,23
10/09/2005,31
10/16/2005,20
11/13/2005,23
11/27/2005,16
12/11/2005,35
12/26/2005,31
1/14/2006,13
9/17/2006,24
10/01/2006,38
10/22/2006,28
10/30/2006,31
11/19/2006,35
12/10/2006,0
12/24/2006,24
12/31/2006,40
1/14/2007,24
1/21/2007,34
09/09/2007,38
10/01/2007,34
10/14/2007,48
10/21/2007,49
11/04/2007,24
11/18/2007,56
12/03/2007,27
12/29/2007,38
9/14/2008,19
10/05/2008,30
10/12/2008,10
11/02/2008,15
11/23/2008,48
12/07/2008,24
12/14/2008,49
12/28/2008,13
9/20/2009,9
10/11/2009,17
10/25/2009,35
11/15/2009,34
11/30/2009,17
12/06/2009,21
12/20/2009,17
01/03/2010,27
9/19/2010,14
10/04/2010,41
10/24/2010,23
11/07/2010,14
11/14/2010,39
11/25/2010,45
12/12/2010,36
12/26/2010,34
09/12/2011,38
9/25/2011,31
10/02/2011,31
10/30/2011,17
11/13/2011,37
11/27/2011,38
12/11/2011,34
12/18/2011,41
09/09/2012,34
9/23/2012,30
9/30/2012,52
10/14/2012,23
10/28/2012,45
11/22/2012,49
12/02/2012,23
12/23/2012,23
09/08/2013,23
9/29/2013,30
10/06/2013,6
